车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
红旗H5 2019款 30TD 灵动版,"6.32, , ",3.4,2020年3月,0,自动,1.8,前驱,国VI,1.8,中型车,92,黑色
长安欧尚Z6 2023款 蓝鲸 1.5T DCT智领型城市版,"9.71, , ",0.1,2023年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
发现 2021款 360PS R-Dynamic S,"46.88, , ",7,2021年5月,0,自动,3,四驱,国VI,3,中大型SUV,95,白色
,,,,,,,,,,,,
长安CS75 PLUS 2020款 1.5T 自动豪华型,"7.48, , ",8.3,2019年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
奥迪A7 2014款 30 FSI 进取型,"17.00, , ",11,2015年6月,0,自动,2.5,前驱,国IV,2.5,中大型车,95,白色
领克02 2021款 1.5TD DCT两驱劲 冠军版,"8.38, , ",2.7,2020年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,95,银/灰色
奔驰G级 2019款 改款 G 500,"232.00, , ",0.4,2022年10月,0,自动,4,四驱,欧VI,4,中大型SUV,95,白色
奔驰E级(进口) 2021款 E 260 时尚型运动版,"32.80, , ",2.5,2021年5月,1,自动,1.5,后驱,国VI,1.5,中大型车,95,银/灰色
红旗H5 2024款 1.5T DCT智联旗悦版,"10.44, , ",0.8,2023年11月,0,自动,1.5,前驱,国VI,1.5,中型车,95,黑色
奥迪A4L 2019款 40 TFSI 进取型 国VI,"14.78, , ",5,2019年7月,0,自动,2,前驱,国VI,2,中型车,95,白色
奔驰C级 2015款 改款 C 180 L 运动型,"13.50, , ",7.8,2016年1月,0,自动,1.6,后驱,欧V,1.6,中型车,95,白色
别克GL8 2021款 ES陆尊 653T 舒适型,"25.60, , ",7,2021年5月,0,自动,2,前驱,国VI,2,,95,白色
领克06 2020款 1.5T 劲Pro,"8.11, , ",1.2,2022年6月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,银/灰色
大切诺基(进口) 2017款 3.0L 舒享导航版,"18.58, , ",4.4,2019年9月,0,自动,3,四驱,国V,3,中大型SUV,92,白色
坦克300 2021款 越野版 2.0T 征服者,"16.10, , ",3,2021年4月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黑色
", 宝马5系 2021款 530Li 领先型 M运动套装","35.58, , ",4.1,2021年6月,,", ",", ",,", ",,,,
高尔夫 2012款 1.4TSI 自动舒适型,"4.58, , ",12.9,2013年3月,1,自动,1.4,前驱,国IV,1.4,紧凑型车,95,白色
威霆 2020款 2.0T 精英版 7座,"24.80, , ",8,2021年1月,1,自动,2,后驱,国VI,2,,95,黑色
凌渡 2021款 280TSI DSG舒适版,"10.78, , ",3.8,2021年8月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
